Year,Region,crop_type,Area_cultivatedHa,Productionkg,Yeild_kg/ha
1998,1,6,185780.0,208515000,1122
2006,1,2,164648.78,184679530,1122
2008,7,2,5966.91,6690953,1121
2006,5,3,14.5,16236,1120
2011,7,5,265377.07,296759360,1118
2007,3,1,335.48,374977,1118
2007,5,6,64.59,72079,1116
2006,7,0,81505.59,90939320,1116
2009,1,3,7382.67,8220211,1113
2008,6,0,688.22,765155,1112
2000,6,3,29650.0,32974000,1112
1999,5,1,1140.0,1265000,1110
2002,7,0,68463.31,75973303,1110
2011,2,6,2690.4,2984165,1109
2006,9,0,79107.68,87747333,1109
1996,2,4,35070.0,38884000,1109
2002,6,2,49335.52,54650128,1108
2001,3,1,370.0,410000,1108
2002,4,2,48.38,53555,1107
2010,5,4,6122.81,6776006,1107
2002,9,0,53237.55,58908878,1107
2004,7,0,68863.0,76177800,1106
1996,2,2,7150.0,7869000,1101
2007,7,4,111469.9,122610890,1100
2004,3,4,6647.0,7302600,1099
2000,7,6,68390.0,75025000,1097
2001,1,4,520870.0,570791000,1096
